,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,bulawayo,-20.15,28.58,51.26,57,0,6.4,ZW,1596059094
116,airai,-8.93,125.41,52.07,62,41,3.53,TL,1596058753
117,yeppoon,-23.13,150.73,48.2,93,0,6.06,AU,1596059095
118,my tho,10.35,106.35,78.8,88,40,2.24,VN,1596059095
119,lamu,-2.27,40.9,76.5,85,36,16.98,KE,1596059095
120,qui nhon,13.77,109.23,79.07,82,72,6.04,VN,1596059095
121,barcelos,41.54,-8.62,73.99,88,0,0.43,PT,1596059095
122,road town,18.42,-64.62,80.01,96,99,11.01,VG,1596058907
123,punta arenas,-53.15,-70.92,39.2,80,75,11.41,CL,1596058653
124,goulburn,-34.75,149.72,43.0,97,100,3.69,AU,1596059096
125,henties bay,-22.12,14.28,57.0,88,0,5.91,NA,1596058786
126,kupang,-10.17,123.58,71.6,78,20,5.82,ID,1596058915
127,jiayuguan,39.82,98.3,67.23,42,0,1.3,CN,1596058759
128,antalaha,-14.9,50.28,68.83,83,4,7.99,MG,1596059097
129,salalah,17.02,54.09,80.6,100,75,5.82,OM,1596059097
130,komsomolskiy,40.43,71.72,77.0,44,0,4.7,UZ,1596058849
131,guerrero negro,27.98,-114.06,80.47,52,3,16.62,MX,1596058751
132,hasaki,35.73,140.83,68.0,94,75,8.05,JP,1596058765
133,carroll,39.55,-77.02,95.0,32,1,6.93,US,1596059098
134,prince rupert,54.32,-130.32,68.0,56,1,5.82,CA,1596058801
135,panalingaan,8.78,117.42,79.72,84,90,6.53,PH,1596059098
136,buri,-23.8,-48.59,56.57,85,92,11.41,BR,1596058883
137,sosnogorsk,63.6,53.88,51.01,69,0,3.6,RU,1596059098
138,port alfred,-33.59,26.89,57.72,73,0,14.97,ZA,1596058758
139,kaeo,-35.1,173.78,59.0,3,100,5.01,NZ,1596059099
140,atuona,-9.8,-139.03,78.87,76,8,20.67,PF,1596058755
141,ogulin,45.27,15.23,78.8,65,3,4.7,HR,1596059099
142,harper,4.38,-7.72,75.38,86,77,10.38,LR,1596059100
143,viedma,-40.81,-63.0,45.0,60,77,8.75,AR,1596059100
144,rafai,4.95,23.92,67.93,96,97,1.57,CF,1596059100
145,erzincan,39.75,39.5,69.8,56,0,13.87,TR,1596058952
146,juliaca,-15.5,-70.13,55.17,36,0,9.44,PE,1596059048
147,san roque,36.21,-5.38,77.0,88,2,13.87,ES,1596059100
148,roma,43.21,-75.46,75.2,73,1,6.93,US,1596058684
149,charters towers,-20.1,146.27,57.29,56,0,10.6,AU,1596059101
150,thompson,55.74,-97.86,75.2,53,40,6.93,CA,1596058749
151,narsaq,60.92,-46.05,57.2,71,40,10.29,GL,1596058801
152,grand gaube,-20.01,57.66,71.01,77,47,3.0,MU,1596058751
153,coxim,-18.51,-54.76,81.25,41,59,10.31,BR,1596059102
154,pevek,69.7,170.31,37.06,92,100,3.83,RU,1596058783
155,chinhoyi,-17.37,30.2,52.16,67,6,0.65,ZW,1596059102
156,havelock,34.88,-76.9,82.99,88,20,6.93,US,1596058951
157,olafsvik,64.89,-23.71,51.42,81,83,3.74,IS,1596058793
158,hailey,43.52,-114.32,80.6,36,40,10.29,US,1596059103
159,nome,64.5,-165.41,50.0,87,90,10.29,US,1596058766
160,sao felix do xingu,-6.64,-51.99,78.87,40,3,1.81,BR,1596059103
161,alekseyevsk,57.84,108.35,52.88,79,100,7.99,RU,1596059103
162,ilulissat,69.22,-51.1,44.6,75,20,4.7,GL,1596058835
163,mogadishu,2.04,45.34,77.04,87,10,15.82,SO,1596059026
164,pacific grove,36.62,-121.92,71.6,56,1,9.17,US,1596059104
165,longido,-2.73,36.68,62.17,74,2,10.4,TZ,1596059104
166,ketchikan,55.34,-131.65,64.4,68,1,9.17,US,1596058860
167,ugoofaaru,5.67,73.0,82.58,78,100,16.11,MV,1596058793
168,haines junction,60.75,-137.51,71.71,45,47,3.44,CA,1596059105
169,dawei,14.08,98.2,77.11,87,100,2.28,MM,1596058770
170,niesky,51.29,14.82,60.01,77,43,2.48,DE,1596059105
171,itarema,-2.92,-39.92,78.19,77,2,13.85,BR,1596059105
172,houma,29.6,-90.72,90.0,66,40,9.06,US,1596059105
173,obama,35.5,135.75,77.0,98,82,1.01,JP,1596059106
174,povoa de santo adriao,38.8,-9.17,73.4,77,20,11.41,PT,1596059106
175,itoman,26.12,127.67,84.2,83,40,6.93,JP,1596058838
176,praia da vitoria,38.73,-27.07,77.0,78,40,16.91,PT,1596059106
177,roebourne,-20.78,117.13,66.29,38,0,10.78,AU,1596058806
178,rio blanco,18.83,-97.15,73.22,69,99,6.35,MX,1596059107
179,tuatapere,-46.13,167.68,53.11,75,100,7.67,NZ,1596059107
180,zhuhai,22.28,113.57,84.99,83,20,10.29,CN,1596058813
181,creel,27.75,-107.63,76.42,39,66,13.58,MX,1596059107
182,isangel,-19.55,169.27,77.05,71,74,15.08,VU,1596058763
183,sobolevo,54.43,31.9,58.5,94,27,8.5,RU,1596059107
184,moscow,55.75,37.62,70.0,82,99,2.24,RU,1596058994
185,laguna,38.42,-121.42,97.0,17,5,3.36,US,1596058824
186,sai buri,6.7,101.62,77.79,81,100,3.49,TH,1596059108
187,machilipatnam,16.17,81.13,82.98,84,100,5.84,IN,1596059108
188,indianola,41.36,-93.56,80.01,75,100,3.33,US,1596059108
189,hofn,64.25,-15.21,51.85,81,16,2.26,IS,1596058752
190,rancho palos verdes,33.74,-118.39,73.99,73,20,16.11,US,1596059109
191,qaanaaq,77.48,-69.36,43.57,67,1,3.36,GL,1596058754
192,koungou,-12.73,45.2,75.2,88,0,13.87,YT,1596059109
193,port keats,-14.25,129.55,58.44,35,0,11.74,AU,1596059109
194,yellowknife,62.46,-114.35,71.01,56,75,10.29,CA,1596058783
195,bengkulu,-3.8,102.27,73.45,90,82,4.18,ID,1596058770
196,hithadhoo,-0.6,73.08,82.13,80,57,16.06,MV,1596058757
197,cayenne,4.93,-52.33,86.0,66,54,6.93,GF,1596058596
198,filadelfia,39.95,-75.16,93.99,29,20,8.05,US,1596058958
199,nadvoitsy,63.87,34.32,58.5,96,100,5.32,RU,1596059110
200,kaitangata,-46.28,169.85,48.0,78,100,4.0,NZ,1596058753
201,san ramon de la nueva oran,-23.13,-64.33,61.0,39,0,3.4,AR,1596059111
202,kralendijk,12.15,-68.27,86.0,74,75,10.29,BQ,1596059111
203,wilmington,34.23,-77.94,84.99,83,75,3.36,US,1596058927
204,lorengau,-2.02,147.27,82.8,67,23,4.7,PG,1596058773
205,souillac,-20.52,57.52,71.6,83,40,10.29,MU,1596058795
206,tay ninh,11.3,106.1,77.2,90,100,1.72,VN,1596059112
207,takoradi,4.88,-1.76,74.73,88,86,9.75,GH,1596059112
208,sorong,-0.88,131.25,77.25,89,81,13.51,ID,1596059112
209,bredasdorp,-34.53,20.04,59.0,77,1,9.17,ZA,1596058599
210,coruripe,-10.13,-36.18,74.28,79,48,12.21,BR,1596059113
211,new norfolk,-42.78,147.06,46.0,80,19,3.0,AU,1596058767
212,saint anthony,45.02,-93.22,84.0,39,20,8.05,US,1596058843
213,selikhino,50.37,137.5,72.59,92,68,11.86,RU,1596059113
214,maun,-19.98,23.42,54.23,42,0,4.81,BW,1596058792
215,puerto escondido,15.85,-97.07,84.56,74,69,7.07,MX,1596059114
216,lovozero,68.0,35.01,46.72,86,0,7.29,RU,1596059114
217,severo-kurilsk,50.68,156.12,54.66,85,97,13.27,RU,1596058781
218,saint george,37.1,-113.58,106.0,7,1,9.17,US,1596058565
219,abu samrah,35.3,37.18,81.1,30,0,5.08,SY,1596059115
220,cap malheureux,-19.98,57.61,71.01,77,44,3.0,MU,1596058829
221,hastings,50.86,0.57,61.0,77,45,5.82,GB,1596058987
222,georgetown,5.41,100.34,80.6,88,20,2.24,MY,1596058513
223,yurginskoye,56.82,67.39,50.47,70,92,6.46,RU,1596059115
224,ciudad guayana,8.35,-62.65,87.01,71,43,5.01,VE,1596059115
225,leshukonskoye,64.9,45.76,55.42,64,50,6.62,RU,1596058768
226,raahe,64.68,24.48,62.6,82,100,11.41,FI,1596059116
227,ishigaki,24.34,124.16,84.2,94,75,11.41,JP,1596059116
228,qinzhou,21.95,108.62,81.75,85,48,4.61,CN,1596059116
229,mahajanga,-15.72,46.32,73.38,73,57,1.03,MG,1596059117
230,krasnozerskoye,53.98,79.24,51.49,94,0,9.98,RU,1596059117
231,constitucion,-35.33,-72.42,50.7,67,98,4.32,CL,1596058818
232,senanga,-16.12,23.27,55.53,45,0,4.12,ZM,1596059117
233,mae hong son,19.3,97.97,72.09,88,91,0.72,TH,1596059118
234,sioux lookout,50.1,-91.92,71.6,60,75,5.82,CA,1596059118
235,mama,58.31,112.9,60.75,77,91,3.36,RU,1596059118
236,san patricio,19.22,-104.7,89.6,75,75,11.41,MX,1596058788
237,esperance,-33.87,121.9,48.2,87,0,12.75,AU,1596058774
238,cherskiy,68.75,161.3,47.88,62,15,15.12,RU,1596058750
239,podgornoye,51.73,39.15,75.2,36,61,6.71,RU,1596059119
240,cidreira,-30.18,-50.21,46.67,74,0,5.77,BR,1596058758
241,hambantota,6.12,81.12,79.27,81,84,18.61,LK,1596058815
242,kungurtug,50.6,97.52,47.23,83,0,1.57,RU,1596059119
243,avera,33.19,-82.53,89.6,66,90,12.75,US,1596058801
244,balakhninskiy,58.01,114.28,58.82,80,88,5.17,RU,1596059120
245,riyadh,24.69,46.72,95.0,28,33,2.24,SA,1596058997
246,bemidji,47.47,-94.88,79.0,47,40,5.82,US,1596058875
247,kedainiai,55.29,23.97,57.2,76,8,1.12,LT,1596059121
248,tumut,-35.3,148.22,41.47,86,92,1.07,AU,1596059121
249,saint-joseph,-21.37,55.62,66.2,88,20,4.7,RE,1596059121
250,port hardy,50.7,-127.42,64.4,63,40,5.82,CA,1596058751
251,gazanjyk,39.24,55.52,90.25,19,49,12.71,TM,1596059122
252,christchurch,-43.53,172.63,52.0,100,54,5.82,NZ,1596058647
253,igrim,63.19,64.42,47.57,72,90,1.7,RU,1596059122
254,gerash,27.67,54.14,89.6,40,40,3.58,IR,1596059122
255,la ronge,55.1,-105.28,86.0,40,40,6.93,CA,1596058811
256,husavik,66.04,-17.34,53.6,71,99,10.29,IS,1596058853
257,eenhana,-17.47,16.33,60.8,36,0,1.12,NA,1596059123
258,lloydminster,53.28,-110.0,80.6,65,20,10.29,CA,1596059123
259,dunedin,-45.87,170.5,48.0,77,99,3.0,NZ,1596058692
260,port blair,11.67,92.75,81.23,81,98,15.43,IN,1596058631
261,opuwo,-18.06,13.84,57.92,35,0,8.39,NA,1596058813
262,anadyr,64.75,177.48,53.6,87,75,2.24,RU,1596058826
263,mazagao,-0.12,-51.29,87.8,66,40,9.17,BR,1596059124
264,moerai,-22.43,-151.33,70.16,90,100,17.98,PF,1596059124
265,misratah,32.38,15.09,79.56,68,0,9.4,LY,1596058965
266,srednekolymsk,67.45,153.68,51.44,60,94,11.45,RU,1596059125
267,china,25.7,-99.23,83.68,69,100,16.62,MX,1596059125
268,la libertad,-2.23,-80.9,71.6,83,90,6.93,EC,1596059125
269,porto novo,6.5,2.6,77.0,88,20,9.17,BJ,1596058848
270,kavieng,-2.57,150.8,82.9,68,1,4.72,PG,1596058809
271,svetlaya,46.54,138.33,73.71,79,0,2.95,RU,1596058772
272,punto fijo,11.7,-70.2,85.33,67,56,16.75,VE,1596058906
273,palafrugell,41.92,3.16,75.0,53,0,4.47,ES,1596059126
274,lokosovo,61.13,74.82,46.71,91,0,2.91,RU,1596059126
275,carlos chagas,-17.7,-40.77,71.31,62,0,4.54,BR,1596059126
276,rincon,32.3,-81.24,79.0,94,75,6.93,US,1596058702
277,tshikapa,-6.42,20.8,73.89,31,0,1.92,CD,1596058761
278,tikapur,28.5,81.13,77.0,89,100,3.13,NP,1596059127
279,shingu,33.73,135.98,76.95,90,26,2.39,JP,1596058794
280,diapaga,12.07,1.79,78.76,75,8,4.79,BF,1596059127
281,saldanha,-33.01,17.94,50.0,87,0,2.24,ZA,1596058812
282,sao filipe,14.9,-24.5,77.9,85,38,5.06,CV,1596058769
283,nuevo laredo,27.48,-99.52,93.2,59,75,8.05,MX,1596059128
284,quatre cocos,-20.21,57.76,71.6,83,40,10.29,MU,1596058800
285,ulladulla,-35.35,150.47,48.99,93,0,9.17,AU,1596059128
286,chuy,-33.7,-53.46,43.79,79,0,2.28,UY,1596058798
287,gigmoto,13.78,124.39,80.2,82,100,7.0,PH,1596059129
288,gladstone,-23.85,151.25,51.8,81,0,4.7,AU,1596059129
289,bilibino,68.05,166.44,51.22,47,84,5.17,RU,1596059129
290,hoquiam,46.98,-123.89,69.8,60,1,12.75,US,1596059129
291,khovu-aksy,51.13,93.6,53.22,73,42,3.89,RU,1596059130
292,nanortalik,60.14,-45.24,46.83,89,60,8.34,GL,1596058828
293,wajima,37.4,136.9,74.62,85,47,1.34,JP,1596059130
294,hualmay,-11.1,-77.61,64.2,70,9,8.93,PE,1596058833
295,marsh harbour,26.54,-77.06,83.68,73,39,11.99,BS,1596059130
296,vardo,70.37,31.11,51.8,93,40,28.86,NO,1596058773
297,along,28.17,94.77,72.43,90,100,1.14,IN,1596058994
298,beira,-19.84,34.84,60.8,93,0,5.82,MZ,1596059131
299,clovis,36.83,-119.7,104.0,22,1,5.82,US,1596059002
300,chhata,27.72,77.5,80.89,86,59,6.44,IN,1596059131
301,mersing,2.43,103.84,75.2,100,100,4.7,MY,1596059132
302,burnie,-41.07,145.92,46.0,80,11,1.01,AU,1596059132
303,vizinga,61.07,50.1,58.32,95,98,2.91,RU,1596059132
304,fort payne,34.44,-85.72,86.0,66,75,9.17,US,1596059132
305,la mira,18.04,-102.33,86.23,66,61,6.15,MX,1596059133
306,pisco,-13.7,-76.22,64.4,72,8,8.05,PE,1596058773
307,padang,-0.95,100.35,77.29,74,99,4.29,ID,1596058840
308,labrea,-7.26,-64.8,86.02,47,24,2.19,BR,1596058932
309,merauke,-8.47,140.33,76.84,81,96,16.26,ID,1596059133
310,ancud,-41.87,-73.82,46.99,81,99,4.7,CL,1596058796
311,petauke,-14.24,31.33,60.15,69,16,8.46,ZM,1596059134
312,glendive,47.11,-104.71,87.8,38,20,8.05,US,1596059134
313,alofi,-19.06,-169.92,73.4,69,75,10.29,NU,1596058833
314,pandan,14.05,124.17,79.23,87,100,8.61,PH,1596059134
315,porto murtinho,-21.7,-57.88,59.47,36,74,8.16,BR,1596059134
316,general roca,-39.03,-67.58,53.6,40,5,2.98,AR,1596058676
317,jalu,29.03,21.55,81.84,25,0,2.89,LY,1596058761
318,parabel,58.7,81.48,52.65,94,100,12.71,RU,1596059135
319,bundaberg,-24.85,152.35,50.0,87,0,4.7,AU,1596059135
320,camacha,33.08,-16.33,69.8,77,75,12.75,PT,1596059135
321,torrington,41.8,-73.12,89.01,37,9,5.01,US,1596059136
322,cozumel,20.51,-86.95,88.0,66,75,14.99,MX,1596059136
323,manokwari,-0.87,134.08,78.98,70,45,3.76,ID,1596059136
